Hand,Suited,High card,Pair,Two Pair,Three of a Kind,Straight,Flush,Full House,Four of a Kind,Straight Flush
JA,Off-suited,0.19250882591704582,0.4528837622005324,0.22658536124903245,0.044274953274556814,0.04052842228473258,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
J9,Off-suited,0.1789584473937586,0.4358473824312334,0.22402726122826558,0.04373501481998905,0.07421321905265343,0.01951282825803772,0.022241310955464517,0.0012592270950933565,0.0002053087655043516
J8,Off-suited,0.1836309917121335,0.4429458740017746,0.22530631123864903,0.04400498404727293,0.060893163926069964,0.01951282825803772,0.022241310955464517,0.0012592270950933565,0.0002053087655043516
J7,Off-suited,0.18830353603050842,0.45004436557231586,0.22658536124903245,0.044274953274556814,0.047573108799486494,0.01951282825803772,0.022241310955464517,0.0012592270950933565,0.0002053087655043516
J6,Off-suited,0.1929760803488833,0.45714285714285713,0.2278644112594159,0.0445449225018407,0.03425305367290302,0.01951282825803772,0.022241310955464517,0.0012592270950933565,0.0002053087655043516
J5,Off-suited,0.19017255375785838,0.45572315882874886,0.2278644112594159,0.0445449225018407,0.03847627857803621,0.019512356283864146,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
J4,Off-suited,0.19250882591704582,0.45714285714285713,0.2278644112594159,0.0445449225018407,0.034720308104740506,0.019533123147501368,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
J3,Off-suited,0.19484509807623326,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030964337631444808,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
J2,Off-suited,0.1971813702354207,0.45998225377107366,0.2278644112594159,0.0445449225018407,0.027208367158149106,0.019574656874775814,0.022241310955464517,0.0012592270950933565,0.0001434801487662595
TA,Off-suited,0.19017255375785838,0.4514640638864241,0.22658536124903245,0.044274953274556814,0.04428439275802828,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
TK,Off-suited,0.18550000943948347,0.44436557231588286,0.22530631123864903,0.04400498404727293,0.057604447884611755,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
TQ,Off-suited,0.17849119296192112,0.4358473824312334,0.22402726122826558,0.04373501481998905,0.07468047348449093,0.019533123147501368,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
TJ,Off-suited,0.17148237648435877,0.42732919254658386,0.22274821121788216,0.04346504559270517,0.0917564990843701,0.019512356283864146,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
T9,Off-suited,0.17194963091619628,0.42732919254658386,0.22274821121788216,0.04346504559270517,0.09128924465253262,0.0194920613944005,0.022241310955464517,0.0012592270950933565,0.00022607562914157337
T8,Off-suited,0.17662217523457116,0.4344276841171251,0.22402726122826558,0.04373501481998905,0.07796918952594914,0.0194920613944005,0.022241310955464517,0.0012592270950933565,0.00022607562914157337
T7,Off-suited,0.18129471955294607,0.4415261756876664,0.22530631123864903,0.04400498404727293,0.06464913439936566,0.0194920613944005,0.022241310955464517,0.0012592270950933565,0.00022607562914157337
T6,Off-suited,0.18596726387132095,0.44862466725820765,0.22658536124903245,0.044274953274556814,0.05132907927278219,0.0194920613944005,0.022241310955464517,0.0012592270950933565,0.00022607562914157337
T5,Off-suited,0.19017255375785838,0.45572315882874886,0.2278644112594159,0.0445449225018407,0.03847627857803621,0.019491589420226926,0.022241310955464517,0.0012592270950933565,0.0002265476033151466
T4,Off-suited,0.19017255375785838,0.45572315882874886,0.2278644112594159,0.0445449225018407,0.03847627857803621,0.019512356283864146,0.022241310955464517,0.0012592270950933565,0.0002057807396779248
T3,Off-suited,0.19250882591704582,0.45714285714285713,0.2278644112594159,0.0445449225018407,0.034720308104740506,0.019533123147501368,0.022241310955464517,0.0012592270950933565,0.00018501387604070305
T2,Off-suited,0.19484509807623326,0.4585625554569654,0.2278644112594159,0.0445449225018407,0.030964337631444808,0.01955389001113859,0.022241310955464517,0.0012592270950933565,0.00016424701240348128
98,Off-suited,0.17241688534803376,0.42732919254658386,0.22274821121788216,0.04346504559270517,0.09082199022069512,0.01949253336857407,0.022241310955464517,0.0012592270950933565,0.00022560365496800014
97,Off-suited,0.17708942966640864,0.4344276841171251,0.22402726122826558,0.04373501481998905,0.07750193509411166,0.01949253336857407,0.022241310955464517,0.0012592270950933565,0.00022560365496800014
96,Off-suited,0.18176197398478355,0.4415261756876664,0.22530631123864903,0.04400498404727293,0.06418187996752818,0.01949253336857407,0.022241310955464517,0.0012592270950933565,0.00022560365496800014
